time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,ref_2017dez,Equipamento SW01B_MSOMCGR,Equipamento RD04_MSRPCGR,OMCGR_SysUpDeslig,Equipamento RD04_MSOMCGR,Equipamento RD02_MSOMCGR,Equipamento MSOMCGR_SWL3,OMCGR_nOK_0001,Equipamento RD03_MSOMCGR,Equipamento RD01_MSOMCGR,Equipamento RD01_MSRPCGR,ref_2017nov,ref_Periodo,Equipamento SW01A_MSOMCGR,OMCGR_SColTempo_0001_delta_tempo,RPCGR_SysUpDeslig
"2017-12-06 22:14:54","2017-12-07 22:25:18",87024.0,0.0041620754975, ,1, , , , , , , , , , , ,1, , , 
"2017-12-07 22:25:18","2017-12-07 22:25:46",28.0,1.33914913047E-06,1334,1, , , , , , , , , , , ,1, , , 
"2017-12-07 22:25:46","2017-12-07 22:47:32",1306.0,6.24617415854E-05,1334,1, , , , , , , , , , , ,1, ,1320, 
"2017-12-07 22:47:32","2017-12-07 22:47:46",14.0,6.69574565234E-07, ,1, , , , , , , , , , , ,1, ,1320, 
"2017-12-07 22:47:46","2017-12-07 22:59:47",721.0,3.44830901096E-05, ,1, , , , , , , , , , , ,1, , , 
"2017-12-07 22:59:47","2017-12-07 23:00:18",31.0,1.48262939445E-06, ,1, , , , , , , , , , , ,1, ,912, 
"2017-12-07 23:00:18","2017-12-07 23:14:59",881.0,4.21353708551E-05,883,1, , , , , , , , , , , ,1, ,912, 
"2017-12-07 23:14:59","2017-12-07 23:15:01",2.0,9.56535093192E-08,883,1, , , , , , , , , , , ,1, , , 
"2017-12-07 23:15:01","2017-12-08 19:09:22",71661.0,0.00342731306566, ,1, , , , , , , , , , , ,1, , , 
"2017-12-08 19:09:22","2017-12-08 19:09:26",4.0,1.91307018638E-07, ,1,1, ,1, , , , , , , , ,1, , , 
"2017-12-08 19:09:26","2017-12-08 19:09:31",5.0,2.39133773298E-07, ,1,1, ,1, , , , , , , , ,1,1, , 
"2017-12-08 19:09:31","2017-12-08 19:09:35",4.0,1.91307018638E-07, ,1,1, ,1,1, , , , , , , ,1,1, , 
"2017-12-08 19:09:35","2017-12-08 19:09:38",3.0,1.43480263979E-07, ,1,1, ,1,1, , , ,1, , , ,1,1, , 
